Work Order ID,Status,Asset Type,Asset ID,Location ID,Created Date,Modified Date,Submitted Date,Closed Date,Fiscal Year,Work Type,Work Needed,Work Type Other,Work Requested By,Job Description,Problem Found,Action Taken,Follow-Up Needed,Child Work Order,Parent Work Order,Is Follow-Up,TMC Issue ID,Service Request #,Damage Report,Location Name,Latitude,Longitude,Location
WRK17-001210,Closed,Signal,73,LOC16-000360,05/07/2017 02:11:00 PM +0000,05/07/2017 02:19:00 PM +0000,,,2017,Trouble Call,Signal Out or on Flash,,311 Customer Service Request (CSR),signals on flash,"conflict 2,6,7,9,10,11&12 . no phase 7","checked output file and the monitor , all colors , peds , pbs and detection.",False,,,,TMC70-001940,17-00118316,, STECK AVE / ROCKWOOD LN,,,POINT (-97.7350159 30.3646717)
WRK17-006350,Submitted,Flashing Beacon,24,LOC17-010680,12/05/2017 09:45:00 PM +0000,05/01/2018 01:12:00 PM +0000,01/26/2018 12:30:00 AM +0000,05/01/2018 01:12:00 PM +0000,2018,Trouble Call,Signal Out or on Flash,,Austin Transportation Staff,,eb ped crossing flasher is out,replaced the amber led not inventory. checked the operation.,False,,,,TMC17-034660,,,902 BLK E 32ND ST,,,POINT (-97.725741 30.29033)
WRK17-007950,Closed,No Asset / Unkown Location / Other,,,12/29/2017 12:07:00 PM +0000,01/02/2018 03:13:00 PM +0000,12/29/2017 04:56:00 PM +0000,01/02/2018 03:13:00 PM +0000,2018,Trouble Call,Digtess,,311,,No problem found,,False,,,False,TMC17-037530,17-00382958,,,,,
WRK17-001285,Closed,Signal,78,LOC16-000385,06/02/2017 04:06:00 AM +0000,06/08/2017 06:00:00 PM +0000,,,2017,Trouble Call,LED Out,,311 Customer Service Request (CSR),nb left turn light out,none,"checked all colors , peds , pbs & louvers",False,,,,,,, ANDERSON LN / BURNET RD,,,POINT (-97.730896 30.3561535)
WRK17-005080,Submitted,No Asset / Unkown Location / Other,,,11/14/2017 02:01:00 AM +0000,12/05/2017 06:20:00 PM +0000,11/14/2017 07:43:00 PM +0000,12/05/2017 06:20:00 PM +0000,2018,Trouble Call,Digtess,,311,,W Annie and Bouldin ave. Digg test reported and needed. ,Verified location of work-zone area. Their are no signalized intersections in the area of work zone. ,False,,,,TMC17-032195,17-00340926,,,,,
WRK18-032525,Closed,No Asset / Unkown Location / Other,,,09/28/2018 11:18:00 AM +0000,11/07/2018 07:09:00 PM +0000,11/07/2018 01:51:00 PM +0000,11/07/2018 07:09:00 PM +0000,2018,Trouble Call,Digtess,,311,,Water Department digging around signal equipment,Marked all wire locations with red paint and verfied digging locations with water dept.,False,,,False,TMC18-083005,18-00326176,,,,,
WRK18-017135,Closed,School Beacon,,LOC17-012005,04/23/2018 08:33:00 PM +0000,05/16/2018 12:14:00 PM +0000,04/25/2018 02:17:00 AM +0000,05/16/2018 12:14:00 PM +0000,2018,Trouble Call,LED Out,,311,light is not flashing on s 1st and thelma,Yellow ball out in overhead signal.,"Replaced 12 VAC amber ball. checked schdule on WBCU. Breaker inside cabient ""thrown"" verified overhead power connection. ",False,,,False,TMC18-053775,18-00118284,,6800 BLK BILL HUGHES RD (BEDICHEK),,,POINT (-97.78672586 30.19442411)
WRK21-130910,Submitted,No Asset / Unkown Location / Other,,,10/23/2021 02:30:00 PM +0000,11/01/2021 03:58:00 PM +0000,10/27/2021 07:24:00 AM +0000,11/01/2021 03:58:00 PM +0000,2022,Trouble Call,Timing Issue,,311,,Flasher outputs we’re manually turned on.,Turned off both outputs.,False,,,False,TMC21-264800,21-00478031,,,,,
WRK19-044690,Closed,No Asset / Unkown Location / Other,,,03/23/2019 02:18:00 PM +0000,03/25/2019 04:54:00 PM +0000,03/23/2019 02:37:00 PM +0000,03/25/2019 04:54:00 PM +0000,2019,Trouble Call,Digtess,,311,needing to repair gas line,"Digtess 
","Verified we school zones or signals at the lcoation 
2944 Higgins ST ",False,,,False,TMC19-108810,19-00101687,,,,,
WRK17-002045,Closed,Signal,325,LOC16-001590,08/31/2017 01:33:00 PM +0000,09/14/2017 07:06:00 PM +0000,08/31/2017 02:43:00 PM +0000,09/14/2017 07:06:00 PM +0000,2017,Scheduled Work,Installation - Cabinet,,Austin Transportation Staff,install a used 332 cabinet on the new foundation,no cops,installed used 332 cabinet on the new foundation . still need to switch the cable to the new foundation .,False,,,,,,, GUADALUPE ST / 4TH ST,,,POINT (-97.7469635 30.2671833)
