CULTURAL_SPACE_NAME,WEBSITE,TYPE,PRIMARY_USE,ADDRESS,LOCAL_AREA,OWNERSHIP,SQUARE_FEET,NUMBER_OF_SEATS,ACTIVE_SPACE
Electric Owl,www.electricowl.ca,Cafe/Restaurant/Bar,Bar/Lounge/Cabaret,"928 Main St, Vancouver, BC, V6A 2W1",Strathcona,Privately Owned,8000,,Yes
Elissa Cristall Galleries,http://cristallgallery.com,Museum/Gallery,Museum/Gallery,"2239 Granville St, Vancouver, BC, V6H 3G1",Fairview,Privately Owned,,,Yes
Elm Park Field House,http://vancouver.ca/parks-recreation-culture/elm-park-fieldhouse.aspx,Studio/Rehearsal ,Artist Studio,"5800 Elm St, Vancouver, BC, V6N 1A3",Kerrisdale,Vancouver Park Board/COV,530,,Yes
Emily Carr Institute of Art + Design,www.ecuad.ca,Educational,Educational Institution,"1399 Johnston St, Vancouver, BC, V6H 2R9",Fairview,Government,198692,,Yes
Emily Carr Institute of Art + Design,,Educational,Educational Institution,"1535 W 3rd Av, Vancouver, BC, V6J 1J8",Fairview,Government,8070,,Yes
Emily Carr Institute of Art + Design,,Educational,Educational Institution,"1706 W 1st Av, Vancouver, BC, V6J 0E4",Fairview,Government,11499,,Yes
Emily Carr Institute of Art + Design 1612 Gallery,,Museum/Gallery,Museum/Gallery,"1612 W 3rd Av, Vancouver, BC, V6J 1K2",Fairview,Government,2833,,Yes
Equinox Gallery,www.equinoxgallery.com,Museum/Gallery,Museum/Gallery,"525 Great Northern Way, Vancouver, BC, V5T 1E1",Strathcona,Privately Owned,14000,,Yes
Falaise Park Field House,http://vancouver.ca/parks-recreation-culture/falaise-park-fieldhouse.aspx,Studio/Rehearsal ,Artist Studio,"3434 Falaise Av, Vancouver, BC, V5M 4C1",Renfrew-Collingwood,Vancouver Park Board/COV,,,Yes
False Creek Community Centre,http://www.falsecreekcc.ca/,Community Space,Community Centre/Hall,"1318 Cartwright St, Vancouver, BC, V6H 3R8",Fairview,Vancouver Park Board/COV,,,Yes
Famee Furlane of Vancouver,http://www.fameefurlanevancouver.com/,Community Space,Community Centre/Hall,"2605 E Pender St, Vancouver, BC, V5K 2B6",Hastings-Sunrise,Privately Owned,3800,,Yes
