longitude,latitude,elevation,StationID,Power,Quality,num_measures,recorded_tstamp,CodePrefix,CodeValue,JSON
-123.124124,49.26517,20,1339,-62.7924,-19.2893,1,12/1/2011 21:55,ABC,144346253,"{ ""StationID"" : ""1339"", ""Power"" : ""-62.7924"", ""Quality"" : ""-19.2893"" }"
-123.143473,49.301208,22,35966,-85.2464,-21.5018,3,12/4/2011 1:18,ABD,279820956,"{ ""StationID"" : ""35966"", ""Power"" : ""-85.2464"", ""Quality"" : ""-21.5018"" }"
-123.106288,49.262104,38,31237,-73.3321,-18.0266,1,12/4/2011 16:34,ABC,286724896,"{ ""StationID"" : ""31237"", ""Power"" : ""-73.3321"", ""Quality"" : ""-18.0266"" }"
-123.147815,49.272139,8,6355,-62.8651,-11.6506,1,12/1/2011 18:03,ABD,297275818,"{ ""StationID"" : ""6355"", ""Power"" : ""-62.8651"", ""Quality"" : ""-11.6506"" }"
-123.139394,49.297715,7,5266,-70.9075,-19.2828,2,12/6/2011 1:48,ABD,355811555,"{ ""StationID"" : ""5266"", ""Power"" : ""-70.9075"", ""Quality"" : ""-19.2828"" }"
-123.123649,49.278838,29,31160,-67.2203,-19.4771,1,12/1/2011 22:25,ABC,334464383,"{ ""StationID"" : ""31160"", ""Power"" : ""-67.2203"", ""Quality"" : ""-19.4771"" }"
-123.134148,49.270844,6,6402,-107.2333,-6.8119,1,12/5/2011 18:27,ABD,407335583,"{ ""StationID"" : ""6402"", ""Power"" : ""-107.2333"", ""Quality"" : ""-6.8119"" }"
-123.131302,49.264962,30,5607,-73.9915,-13.2637,3,12/5/2011 17:00,ABD,216550579,"{ ""StationID"" : ""5607"", ""Power"" : ""-73.9915"", ""Quality"" : ""-13.2637"" }"
-123.104993,49.260733,55,31375,-67.8884,-14.7378,2,12/3/2011 13:27,ABC,95106655,"{ ""StationID"" : ""31375"", ""Power"" : ""-67.8884"", ""Quality"" : ""-14.7378"" }"
-123.135161,49.293719,7,6522,-101.2924,-17.1396,1,12/4/2011 16:09,ABD,405039578,"{ ""StationID"" : ""6522"", ""Power"" : ""-101.2924"", ""Quality"" : ""-17.1396"" }"
-123.181175,49.258863,47,30025,-61.7056,-8.2971,4,12/6/2011 14:50,ABC,14707789,"{ ""StationID"" : ""30025"", ""Power"" : ""-61.7056"", ""Quality"" : ""-8.2971"" }"
-123.117517,49.282104,36,31920,-74.9521,-18.5541,6,12/5/2011 1:40,ABC,22574791,"{ ""StationID"" : ""31920"", ""Power"" : ""-74.9521"", ""Quality"" : ""-18.5541"" }"
-123.147889,49.270133,12,36636,-69.1557,-12.8044,2,12/7/2011 16:07,ABD,260619209,"{ ""StationID"" : ""36636"", ""Power"" : ""-69.1557"", ""Quality"" : ""-12.8044"" }"
-123.086447,49.271659,7,31267,-76.8847,-20.8752,1,12/6/2011 16:46,ABC,187235473,"{ ""StationID"" : ""31267"", ""Power"" : ""-76.8847"", ""Quality"" : ""-20.8752"" }"
-123.122193,49.267567,4,286,-83.3303,-21.781,1,12/6/2011 21:41,ABC,390140279,"{ ""StationID"" : ""286"", ""Power"" : ""-83.3303"", ""Quality"" : ""-21.7810"" }"
-123.112232,49.262209,33,30245,-77.2334,-8.1022,2,12/4/2011 16:11,ABC,196705395,"{ ""StationID"" : ""30245"", ""Power"" : ""-77.2334"", ""Quality"" : ""-8.1022"" }"
-123.133505,49.272309,0,30740,-63.6029,-13.3764,1,12/1/2011 23:22,ABC,395567410,"{ ""StationID"" : ""30740"", ""Power"" : ""-63.6029"", ""Quality"" : ""-13.3764"" }"
-123.132041,49.264405,39,896,-87.8823,-13.693,3,12/6/2011 21:41,ABC,402846768,"{ ""StationID"" : ""896"", ""Power"" : ""-87.8823"", ""Quality"" : ""-13.6930"" }"
-123.087181,49.280547,18,1265,-59.847,-13.6059,1,12/1/2011 23:34,ABC,253319807,"{ ""StationID"" : ""1265"", ""Power"" : ""-59.8470"", ""Quality"" : ""-13.6059"" }"
-123.155148,49.258254,41,5287,-87.6404,-21.6505,2,12/5/2011 21:24,ABD,431196455,"{ ""StationID"" : ""5287"", ""Power"" : ""-87.6404"", ""Quality"" : ""-21.6505"" }"
-123.116523,49.259477,51,31058,-74.893,-18.1609,2,12/5/2011 1:47,ABC,122471815,"{ ""StationID"" : ""31058"", ""Power"" : ""-74.8930"", ""Quality"" : ""-18.1609"" }"
-123.144852,49.303009,24,35595,-66.7246,-18.8315,3,12/7/2011 14:51,ABD,117269732,"{ ""StationID"" : ""35595"", ""Power"" : ""-66.7246"", ""Quality"" : ""-18.8315"" }"
-123.091721,49.28395,15,36612,-95.9403,-20.6551,1,12/4/2011 14:32,ABD,242965816,"{ ""StationID"" : ""36612"", ""Power"" : ""-95.9403"", ""Quality"" : ""-20.6551"" }"
-123.139468,49.283143,21,36082,-98.8519,-10.2748,1,12/5/2011 21:15,ABD,231966354,"{ ""StationID"" : ""36082"", ""Power"" : ""-98.8519"", ""Quality"" : ""-10.2748"" }"
